Sample E1,,Sample E2,,Sample E3,,Sample E4,,Sample F1,,Sample F2,,Sample F3,,Sample F4,,Sample G1,,Sample G2,,Sample G3,,Sample G4,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
53.00833511,140.8041229,53.04337692,86.13611603,53.07997894,62.46577835,53.11597824,440.2213135,53.2625618,144.7825165,53.22706223,92.52616119,53.1908989,59.58242416,53.15504074,448.647583,53.30170822,119.1616592,53.3380394,86.6977005,53.37397766,57.46151352,53.40922928,402.1062622,
54.00833511,141.9602203,54.04456329,86.5246582,54.08003998,62.74901962,54.11579132,439.0344543,54.2622261,146.5985718,54.22687531,92.65451813,54.19153976,60.35590363,54.15554047,447.8417053,54.30387497,121.9497757,54.33956146,86.36750031,54.37498093,57.01255035,54.41072845,402.3121643,
55.00833511,141.7684326,55.04441833,86.49243927,55.07997894,63.71593475,55.11603928,437.9879456,55.26525116,146.9465942,55.22887421,93.71957397,55.19421005,60.45959473,55.15737152,439.6704407,55.30445862,119.8537216,55.3396225,85.89407349,55.37604141,57.07795715,55.41141891,401.7017822,
56.00833511,140.9153137,56.04320908,85.63587952,56.07896042,63.83794403,56.11537552,437.2623596,56.26187515,145.7852478,56.22556305,92.24494934,56.19020844,60.83010101,56.15420914,433.9868774,56.30139542,120.4603348,56.33637619,86.28727722,56.37204361,57.39027786,56.40870667,401.2114563,
57.00833511,141.3970184,57.0437088,84.8080368,57.07889557,62.71059036,57.11504364,435.128479,57.26337433,144.7319641,57.22754288,93.01103973,57.19220734,60.21693039,57.15572739,425.8204346,57.30420685,120.334259,57.33964539,87.06147003,57.37572861,57.57371521,57.41012192,397.8470764,
58.00833511,141.4387512,58.04372787,85.40077209,58.07896042,62.64016724,58.1150856,437.2971802,58.26306152,145.4789124,58.22754288,93.06381226,58.19270706,60.08313751,58.15671158,426.2005615,58.30262375,121.4857559,58.33904266,86.93798065,58.37504196,57.82059479,58.41025162,397.2581787,
59.00833511,141.7868195,59.04481125,85.27642822,59.07939529,63.47128677,59.1157074,438.1389771,59.26406097,144.729248,59.22789764,93.31564331,59.19241714,61.26631165,59.15706253,427.5971069,59.30341721,120.6792374,59.33956146,85.53095245,59.37504196,57.34936523,59.41108322,399.0498657,
60.00833511,140.4430847,60.04322815,86.21340179,60.07954025,62.87151718,60.1162529,433.3337097,60.26220703,144.6128693,60.22587585,92.11733246,60.19041824,60.88801575,60.15504074,426.4412842,60.30273056,120.2890625,60.33874893,86.29373932,60.37481308,58.22274017,60.41072845,397.6137085,
61.00833511,141.0733643,61.04372787,85.89504242,61.07922745,63.43897247,61.1150856,435.2060547,61.25997543,144.3002319,61.22454071,92.38787079,61.19104004,60.90700531,61.15504074,426.735321,61.30170822,120.9867783,61.33731461,86.18424225,61.37321091,58.07144547,61.41004181,393.2302856,
62.00833511,141.0578003,62.04481125,84.89639282,62.08137512,63.04247665,62.116539,429.114624,62.26523209,144.6098175,62.22956085,92.173172,62.19371033,60.37904358,62.15837479,426.4607544,62.30554199,120.6363068,62.34137344,86.31110382,62.37739563,57.74751663,62.41370773,397.980835,
63.00833511,141.2454987,63.04375076,86.29528809,63.0802269,63.87869263,63.11573029,435.788269,63.2628746,144.5141754,63.22820663,93.10487366,63.19153976,60.24960327,63.15489578,428.1172485,63.30389404,121.0885925,63.34056473,85.48581696,63.37608337,58.15519333,63.41237259,395.1401367,
64.0083313,141.6359863,64.04438019,86.25881195,64.08055878,63.05604553,64.11614227,430.8949585,64.26255798,144.5783539,64.2270813,93.04475403,64.19137573,59.81915665,64.15556335,423.8629456,64.30420685,119.0823669,64.33856201,85.40992737,64.37422943,58.24055481,64.40962219,391.885498,
65.0083313,140.5810699,65.04325104,86.88687134,65.07941437,62.67765045,65.11581421,430.9914551,65.26371002,144.6282806,65.22806549,92.71551514,65.19289398,61.33070374,65.15704346,425.7875366,65.30489349,120.9051514,65.34104156,85.73880768,65.37697601,57.93030548,65.41337585,393.3526306,
66.0083313,139.8502808,66.04462433,84.82057953,66.08024597,63.09840012,66.11670685,431.3196716,66.26589966,144.1707916,66.22946167,92.59221649,66.19422913,61.73487091,66.15839386,425.6669617,66.30539703,120.1607285,66.34141541,86.31318665,66.37722778,58.10940933,66.41246033,392.9703979,
67.0083313,140.4816589,67.04289246,84.92928314,67.07923126,64.12886047,67.11458588,427.9928589,67.26222992,145.014679,67.22622681,92.88217163,67.19006348,62.2170105,67.15437317,425.950592,67.30356598,120.8921432,67.33964539,86.63574219,67.37581635,58.35263062,67.41153717,389.9573669,
68.0083313,141.3958435,68.04441833,84.20413971,68.07941437,63.11167145,68.11521149,428.8424683,68.26374817,146.4284363,68.22837067,93.73871613,68.19272614,62.22847366,68.15656281,426.2688599,68.30356598,119.6805344,68.33964539,86.18022156,68.37489319,58.20314026,68.4107132,388.9065247,
69.0083313,141.2902679,69.04405975,84.42276764,69.07987213,63.80694199,69.11554718,426.6914673,69.26390076,145.4082031,69.22789764,92.68925476,69.19221497,60.94380951,69.15589142,424.9458923,69.30490112,121.5542603,69.34089661,86.46704865,69.37705994,58.59801865,69.41171265,388.7012024,
