Sample F9,,Sample F10,,Sample F11,,Sample F12,,Sample G9,,Sample G10,,Sample G11,,Sample G12,,Sample H9,,Sample H10,,Sample H11,,Sample H12,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
31.50166702,160.0640106,31.52377129,246.3861389,31.54610443,193.0260773,31.56908417,306.6896973,31.66466713,229.3547363,31.64195824,222.9318085,31.61941719,253.4680939,31.59729195,301.8858032,31.69262505,86.84368134,31.7155838,74.56864166,31.73843765,81.48085785,31.76118851,81.46046448,
32.00166702,159.4457703,32.02412415,248.2989044,32.04635239,195.1998138,32.06910324,312.517334,32.16358185,237.077301,32.14208221,217.0558624,32.11925125,254.4491882,32.09675217,301.7791443,32.19129181,87.1105957,32.2140007,73.4312973,32.23693848,81.65101624,32.25968933,78.76782227,
32.50166702,159.2710876,32.52391815,246.365799,32.54643631,196.365921,32.56949997,310.9874268,32.66345978,233.8567352,32.64218903,219.3712006,32.62016678,255.3686829,32.59708405,310.2511597,32.69126892,88.53522491,32.71418762,73.41758728,32.73625183,81.87200928,32.75893784,80.52887726,
33.00166702,162.7132416,33.02276993,249.8732605,33.04558182,190.70047,33.06791687,315.4147644,33.16208267,231.5832214,33.13941574,218.4006958,33.11824799,253.679306,33.09658432,310.8598328,33.19075012,88.20409393,33.21362686,72.81196594,33.23658371,80.53050995,33.25875092,80.08370209,
33.50166702,160.6980438,33.52276993,248.5922241,33.54516602,193.6661072,33.56624985,316.9712219,33.66129303,229.1808777,33.63874817,221.6641846,33.61574936,252.4627686,33.59366608,304.161377,33.68860626,85.17816925,33.71166611,74.1230545,33.73360443,80.64601135,33.75679016,80.43270111,
34.00166702,162.8633118,34.02393723,250.7433624,34.04600143,197.9968414,34.0680809,320.0398865,34.16145706,236.0217896,34.13941574,217.5443878,34.1167717,249.1139679,34.09429169,303.1673584,34.18810272,87.908638,34.2109375,73.89953613,34.23316574,81.11032104,34.2555809,81.27046967,
34.50166702,160.7283478,34.52362442,251.0730896,34.54618835,195.9671326,34.56741714,314.2042847,34.66360092,233.7753448,34.64143753,220.3358154,34.61875153,254.4510956,34.59562683,309.5211182,34.69177246,87.20020294,34.71508408,73.65368652,34.73758316,81.72924805,34.76025009,80.95635223,
35.00166702,161.2313232,35.02299881,251.2605743,35.04491806,195.9228516,35.06677246,320.1299744,35.16127014,228.3830109,35.13993835,221.8461456,35.11810303,254.710022,35.09568787,310.1311035,35.18933487,85.67572784,35.21058273,72.88945007,35.23266602,82.23017883,35.25416565,80.59609222,
35.50166702,164.5773468,35.524086,253.0578003,35.54633331,194.7796478,35.56843567,317.623291,35.66294098,228.382431,35.64018631,219.911911,35.61878967,258.1492615,35.59674835,309.9000854,35.68928909,86.83521271,35.7124176,73.44836426,35.73474884,82.71641541,35.75793839,78.31791687,
36.00166702,164.481308,36.02391815,256.0473938,36.04608154,196.7202301,36.06827164,321.2857361,36.16468811,229.6334839,36.14245987,219.8476715,36.11975098,253.4329529,36.09660339,313.9470215,36.19177246,86.04833221,36.21424866,74.81361389,36.23645782,81.14984131,36.25885391,80.73377991,
36.50166702,163.7203064,36.524086,253.3875427,36.54650116,195.9392242,36.56941605,321.598175,36.66677094,233.1313324,36.64412308,216.4762878,36.62141418,256.0506592,36.59775162,306.9448547,36.69316864,85.58823395,36.71591949,73.26300812,36.73793793,82.88349152,36.76095963,82.40671539,
37.00166702,163.8460388,37.02429199,257.3309021,37.04733658,198.1161346,37.06960297,327.0141296,37.16360092,228.1483002,37.14068604,217.729187,37.11933136,258.6922913,37.09802246,309.5664063,37.19158554,86.67071533,37.21445847,74.44302368,37.2374382,81.32121277,37.26018906,80.03504944,
37.50166702,162.6558228,37.52351761,255.355835,37.54575348,197.660675,37.56949997,331.8039551,37.66268539,228.3563538,37.64027023,219.3246613,37.61824799,252.6760406,37.59545898,310.5466309,37.69095993,86.01617432,37.71424866,72.64504242,37.73628998,82.88947296,37.75975037,79.58280945,
38.00166702,165.4990082,38.02358246,254.0784149,38.0464592,198.6086426,38.06862259,327.117981,38.16416931,229.5278473,38.14293671,221.1460876,38.12008286,252.3097382,38.09791565,320.3386536,38.19212723,85.71494293,38.21491623,73.67689514,38.23760605,80.27146912,38.25966644,80.21498871,
