Sample A1,,Sample A2,,Sample A3,,Sample B1,,Sample B2,,Sample B3,,Sample C1,,Sample C2,,Sample C3,,Sample D1,,Sample D2,,Sample D3,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
21.00083351,147.1020355,21.02158356,2.162119389,21.04283333,69.54606628,21.11100006,136.2815094,21.08950043,3.328393698,21.06835365,70.41624451,21.13724899,143.3863983,21.15766525,2.395667553,21.17899895,72.94949341,21.24516678,169.2894897,21.22416496,2.816121578,21.20318794,63.71627045,
22.00083351,147.8570099,22.02041626,2.204449177,22.04133224,69.83695221,22.11043739,138.0445862,22.08887482,3.202726364,22.06768799,71.93139648,22.1344986,141.8150482,22.15566635,2.244334221,22.17602158,74.10862732,22.24485397,173.8995361,22.22366714,2.472294092,22.20266724,63.1920166,
23.00083351,143.3973541,23.02199936,2.29146862,23.04250145,70.12677002,23.11133385,136.8125458,23.090271,3.379987001,23.06920815,70.91700745,23.13793755,141.5186462,23.15802002,2.347141504,23.17885399,72.86466217,23.2453537,175.1304474,23.22399902,2.675805807,23.20366669,63.89027023,
24.00083351,148.7321472,24.02137375,2.121190786,24.04270744,69.23143768,24.11001968,137.2900085,24.08983421,3.553491831,24.06900024,70.19030762,24.13620758,142.0149994,24.15710449,2.271944046,24.1780014,73.16628265,24.2458744,174.784668,24.22552109,2.74619031,24.20485497,64.70155334,
25.00083351,144.47258,25.02166748,2.345175028,25.04252052,70.14338684,25.10852051,136.4839478,25.0875206,3.406857967,25.06716728,71.16238403,25.13318634,140.1409607,25.15385246,2.430788994,25.17477036,73.94520569,25.24283218,171.6765289,25.22183418,2.629944324,25.20120811,64.22113037,
26.00083351,143.135376,26.02152061,2.246286392,26.04285431,69.92689514,26.10866737,139.3976898,26.08743668,3.453230381,26.06635284,72.10194397,26.13299942,143.0312042,26.15352249,2.324302197,26.17466545,72.85611725,26.24260521,179.6192474,26.22120857,2.623803377,26.20087433,65.69991302,
27.00083351,147.6011353,27.02152061,2.192164421,27.0431881,69.75085449,27.11118698,138.0627747,27.08983421,3.497139692,27.06927109,71.18120575,27.13750076,143.2822418,27.15787506,2.132814884,27.17908287,73.43692017,27.24749947,175.4812012,27.22610474,2.524251461,27.20552254,62.28079224,
28.00083351,145.0582275,28.02127075,2.272155285,28.04250145,69.41221619,28.10870743,137.8041382,28.08749962,3.815040588,28.06716728,70.80199432,28.13516617,141.9345856,28.15568924,2.36629653,28.1765213,72.44812775,28.24487495,174.7386627,28.22402191,2.599059105,28.20266724,62.84365082,
29.00083351,144.3035736,29.02083397,2.140886068,29.04125023,68.84542847,29.10733223,136.9206543,29.08635521,3.461437464,29.06533432,71.04852295,29.13185501,140.8153839,29.15237427,2.598054886,29.17366791,72.75409698,29.24118614,179.5068512,29.2203331,2.606894493,29.19920921,63.44654465,
30.00083351,147.7199402,30.02152061,2.189096928,30.04252052,69.62154388,30.11116791,137.194519,30.09002113,3.707172394,30.06916618,71.07601166,30.13670921,139.3847656,30.15777206,2.455110312,30.17899895,72.71317291,30.24485397,176.2310181,30.22416496,2.665625334,30.20285416,63.0383873,
