Sample E1,,Sample E2,,Sample E3,,Sample F1,,Sample F2,,Sample F3,,Sample G1,,Sample G2,,Sample G3,,Sample H1,,Sample H2,,Sample H3,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
51.00083542,33.68186188,51.02108002,10.68286419,51.04224777,266.3707275,51.10885239,33.68305969,51.08791351,11.47397709,51.06716537,257.0417786,51.13558197,34.60428238,51.1566658,8.364021301,51.17764664,237.1735687,51.24416351,163.1094971,51.22314453,13.81444073,51.20266342,236.2116852,
52.00083542,33.2702446,52.02131271,10.03842163,52.04233551,261.2277527,52.11039734,34.06018829,52.08964539,11.50728607,52.06830978,265.3325806,52.13525009,31.88672256,52.15606308,8.065552711,52.17700195,241.8004913,52.24506378,162.4902344,52.22373199,13.33691311,52.20291901,232.4995117,
53.00083542,31.51209641,53.02164841,10.60196018,53.04248047,264.655365,53.11114502,34.50193787,53.08964539,11.44346142,53.06916428,261.5072327,53.13664627,31.09258461,53.15816498,7.83683157,53.17883301,242.4771729,53.24735641,168.1369476,53.22585297,13.26090813,53.2053566,234.241333,
54.00083542,32.89121246,54.02198029,9.86320591,54.04272842,261.4927368,54.1087265,33.95098495,54.08831406,12.24240875,54.06748199,263.9136353,54.13364792,32.83537674,54.1553154,8.232831001,54.17606354,235.8811493,54.24347687,164.5344696,54.22264481,13.31213093,54.2024765,232.6243744,
55.00083542,33.59400177,55.02239609,9.744472504,55.0427475,261.6465454,55.11164474,34.05865097,55.09014511,12.33653069,55.06947708,263.6705322,55.13772964,32.39430237,55.15839386,8.47697258,55.17922592,237.3781128,55.24698257,168.6358185,55.22631454,12.86037064,55.20564651,238.8633118,
56.00083542,33.04980469,56.02172852,10.69275475,56.04358292,267.2545776,56.11118698,34.87653351,56.09014511,12.35520649,56.06947708,264.4832458,56.13822937,31.48850441,56.15850067,8.376358986,56.17964554,242.4420471,56.24552155,166.1088715,56.22472763,12.786973,56.20364761,230.4580994,
57.00083542,33.50379562,57.02066803,9.261673927,57.04168701,265.83078,57.10956192,33.23366547,57.08889389,11.76397133,57.06824875,263.1470032,57.13608551,32.19481277,57.1574173,8.660336494,57.17791748,243.1502686,57.24616623,168.1354218,57.22499847,13.37605476,57.20447922,232.6282959,
58.00083542,32.81354523,58.02131271,10.32488537,58.04156113,271.3120422,58.11024857,34.53767395,58.08881378,11.97528458,58.06798172,264.4473572,58.13405991,32.85669708,58.15550232,8.783184052,58.17616653,236.7913361,58.24481201,167.5739746,58.22331238,13.33978367,58.20231247,232.7717896,
59.00083542,31.62381744,59.02214813,10.7066555,59.04366684,266.8616943,59.10914612,34.99278641,59.08831406,11.83263493,59.06783295,260.7090759,59.13599777,31.69218063,59.15681076,8.434053421,59.17749786,237.6980438,59.2456665,172.1944275,59.22547913,12.52113724,59.20416641,244.3641815,
60.00083542,33.30838394,60.02183533,10.26204586,60.04333496,264.6289673,60.10997772,34.27438354,60.0884819,11.16335583,60.06830978,260.3360291,60.13483429,32.56386948,60.15547943,8.782238007,60.17658234,244.1864319,60.24523163,168.7690125,60.22441864,12.54667664,60.20298004,226.5008087,
61.00083542,33.10186005,61.02114487,10.47245789,61.04183197,261.6894531,61.10766602,33.6089325,61.08722687,12.57206631,61.06602097,264.0309448,61.13458252,32.56323624,61.1550827,8.864362717,61.17647934,242.951828,61.24431229,167.3955078,61.22399902,12.60310936,61.20283127,230.8814697,
62.00083542,32.55858231,62.0206871,9.716562271,62.04133224,261.6845703,62.10856247,35.31573105,62.08756256,12.36310101,62.066185,258.6456299,62.13431549,32.44128799,62.15516663,8.455144882,62.17631531,237.9406281,62.24431229,171.244339,62.22366714,12.96623993,62.20316696,232.3373413,
63.00083542,32.03359222,63.02099991,9.917723656,63.04166794,260.6406555,63.10983658,33.96679306,63.0890007,11.52176094,63.06835556,256.5933533,63.13425064,30.89020538,63.15472794,8.661362648,63.17606354,236.9322052,63.24264908,170.6291962,63.22198105,12.88454247,63.20081329,229.3674622,
64.0008316,33.5364418,64.02135468,9.773944855,64.04168701,266.9869385,64.1098175,35.21482086,64.08898163,12.03800869,64.06847382,259.950592,64.13631439,32.20571136,64.15697479,8.749843597,64.17814636,240.0964355,64.24581146,171.1228333,64.22550201,12.87182808,64.20433044,235.405777,
65.0008316,31.96709251,65.02098083,10.39916801,65.04166412,262.943512,65.10948181,33.62226868,65.08900452,11.95513248,65.0676651,259.9541931,65.13585663,32.39388275,65.15633392,8.620550156,65.17749786,243.7870941,65.24323273,168.4624939,65.22216797,13.05593491,65.20166779,236.7277222,
66.0008316,32.3236618,66.02149963,10.41617966,66.04250336,257.8419189,66.11073303,35.12217712,66.09018707,12.69663429,66.06889343,258.9416504,66.13749695,33.15461349,66.1582489,8.24171257,66.17897797,239.0566559,66.24783325,167.493866,66.22681427,12.82889175,66.20566559,240.5373993,
67.0008316,32.08951569,67.02100372,9.91861248,67.04164886,263.5290527,67.10948181,33.13138962,67.08916473,12.10044193,67.06783295,258.8006592,67.13601685,32.41020584,67.15635681,8.699428558,67.17716217,243.5317535,67.24497986,168.6496887,67.22399902,12.92187977,67.20358276,232.8777924,
68.0008316,32.50154114,68.02141571,9.984449387,68.04251862,264.6862793,68.10906219,35.57597351,68.08789825,12.80067921,68.06764984,266.2865295,68.13549805,31.87719345,68.15633392,9.29497242,68.17714691,236.8912964,68.24500275,169.651947,68.22416687,13.73469353,68.20349884,236.4377594,
69.0008316,30.92807388,69.02119446,10.60435009,69.04199982,260.5493469,69.10800171,34.35588455,69.08705902,12.03842163,69.06568909,268.1142273,69.13289642,33.06770706,69.15368652,9.062098503,69.17435455,238.4347534,69.24066925,172.9931183,69.21935272,13.22932053,69.19889069,236.1514282,
70.0008316,32.46431351,70.02030945,10.03838253,70.04130554,260.9290771,70.10900116,33.49076462,70.08866119,12.03848743,70.06716156,261.9862671,70.1339798,33.22335052,70.15468597,9.209140778,70.17558289,235.9400635,70.24131012,166.2522125,70.22014618,12.72438049,70.19947815,227.7922058,
71.0008316,32.53211594,71.02064514,9.643084526,71.04141235,254.6136322,71.10791779,34.46422195,71.08664703,12.95330715,71.06598663,266.4171753,71.13181305,32.2754097,71.15297699,8.385435104,71.17331696,238.9990082,71.24147797,171.7334595,71.22131348,13.40767479,71.19983673,231.35466,
72.0008316,33.72436523,72.02135468,9.789964676,72.04268646,264.0051575,72.11049652,33.73548126,72.08914185,11.82383251,72.06848145,255.3981781,72.13639069,34.28585052,72.15691376,8.699962616,72.17739105,243.493866,72.24531555,173.7062683,72.22514343,13.95334244,72.20381165,229.3712463,
73.0008316,31.32492256,73.02000427,10.47321033,73.04151917,263.4337158,73.10816956,34.87848282,73.08714294,11.80589008,73.06614685,266.1007385,73.13183594,31.48534203,73.15267181,8.645145416,73.17365265,245.2756348,73.23939514,171.4182892,73.21855927,13.26692009,73.19814301,233.9727631,
