Sample A1_Ex465_Em530,,Sample A1_Ex465_Em590,,Sample A2_Ex465_Em530,,Sample A2_Ex465_Em590,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
93.0083313,42.45986938,93.02722931,197.8252106,93.06289673,58.01753998,93.08181,133.0372925,
93.5083313,42.64143753,93.52722931,197.3241425,93.56239319,58.09713364,93.58131409,133.1957855,
94.0083313,41.92398071,94.02722931,196.2961884,94.06312561,58.09942245,94.08206177,132.8916473,
94.5083313,42.19726563,94.52722931,195.8576965,94.56281281,58.04357529,94.5817337,132.9386139,
95.0083313,41.98108292,95.02724457,195.8992615,95.06442261,57.95122528,95.08333588,132.3063354,
95.5083313,41.89408493,95.52722931,196.3529358,95.56358337,58.30983734,95.58250427,132.6925201,
96.0083313,42.22003174,96.02722931,196.4972687,96.06246185,57.73094559,96.08137512,132.6346588,
96.5083313,42.4834671,96.52722931,194.5708313,96.56247711,58.32688522,96.58139801,132.593338,
97.0083313,41.62373352,97.02722931,195.6104736,97.06241608,57.99507523,97.08132935,133.4060364,
97.5083313,41.77046204,97.52722931,195.426712,97.56264496,58.41134644,97.58155823,132.076355,
98.0083313,42.0579567,98.02722931,194.791153,98.06375122,57.87740326,98.08271027,131.7904663,
98.5083313,41.9699173,98.52722931,195.5878143,98.56391907,58.19977188,98.58283997,132.5462036,
99.0083313,42.33908081,99.02722931,193.5819397,99.0636673,57.79386902,99.08255768,130.991272,
99.5083313,42.06492615,99.52722931,194.0478058,99.56291199,58.02917862,99.58183289,131.1191254,
100.0083313,42.26877975,100.0272293,195.478302,100.0641403,58.56651688,100.0830612,132.1339569,
100.5083313,41.85368729,100.5272293,193.9763336,100.5633163,57.80171967,100.5822296,131.6791992,
101.0083313,42.02095795,101.0272293,194.0909882,101.0635834,57.42750931,101.0825043,131.0765533,
101.5083313,42.06165695,101.5272293,195.0062408,101.5630875,57.33246613,101.5820007,131.9290466,
102.0083313,41.81033325,102.0272293,194.3964996,102.0634995,57.70222473,102.0823975,131.8661804,
102.5083313,41.95239258,102.5272293,193.93367,102.5634613,57.19346237,102.5823746,131.8346558,
103.0083313,41.63690567,103.0272293,194.5172729,103.0630875,58.02309799,103.0820007,132.1431122,
103.5083313,41.60020065,103.5272293,195.4702454,103.5628128,57.39342499,103.5817337,130.8431396,
104.0083313,41.82741928,104.0272293,192.6144409,104.0642471,57.37981796,104.083168,131.4050293,
104.5083313,41.82849121,104.5272293,193.3576965,104.5633163,57.83560944,104.5822296,130.2173004,
105.0083313,41.27967072,105.0272293,191.9682159,105.0636215,57.14899826,105.0825424,129.773941,
105.5083313,41.71736908,105.5272293,192.7334137,105.5624771,58.1276474,105.581398,130.5085297,
106.0083313,41.06998062,106.0272293,191.7671814,106.0619125,57.78202057,106.0808334,129.967865,
106.5083313,41.52080917,106.5272293,192.8713226,106.5637283,58.30718613,106.5826492,131.5316925,
107.0083313,41.42566681,107.0272293,191.657196,107.064064,57.16477203,107.0829773,131.0389557,
107.5083313,41.95721436,107.5272293,192.4816437,107.5638123,57.77468872,107.5827332,131.3191681,
108.0083313,41.82892227,108.0272293,192.4688416,108.0634766,57.60952377,108.0823975,131.4631348,
108.5083313,41.56716156,108.5272293,193.4728699,108.5632477,57.5633812,108.5821686,131.5425568,
109.0083313,41.51638031,109.0272293,192.3578796,109.0624619,58.05791473,109.0813751,130.8722992,
109.5083313,41.57300186,109.5272293,191.9024353,109.5622482,57.68373489,109.5811691,130.2102814,
110.0083313,41.74008179,110.0272293,193.0453796,110.0632324,57.13856888,110.0821457,130.7582245,
110.5083313,42.12057877,110.5272293,192.8819275,110.5627518,57.46759415,110.581665,131.3366852,
111.0083313,41.10676956,111.0272293,192.6173706,111.0631638,57.05500031,111.0820618,131.1467438,
111.5083313,41.37063217,111.5272293,192.3000946,111.5628967,58.22898865,111.58181,130.3473663,
112.0083313,41.74621201,112.0272293,191.5301514,112.0639191,57.28427505,112.08284,130.6909637,
112.5083313,41.56955719,112.5272293,192.4651642,112.5639191,57.5889473,112.58284,129.8339996,
113.0083313,42.14025879,113.0272293,192.400528,113.0634232,57.53538132,113.0823288,129.9966888,
113.5083313,41.83253479,113.5272293,193.958374,113.5640869,57.8048439,113.5830002,130.4291534,
114.0083313,41.7402153,114.0272293,192.94841,114.0631409,57.09978485,114.0820618,130.8462372,
114.5083313,41.39815903,114.5272293,193.2293549,114.5634613,57.210289,114.5823746,129.048111,
115.0083313,41.71208191,115.0272293,193.5471344,115.0627518,57.6895256,115.081665,129.0705872,
115.5083313,42.25078964,115.5272293,193.679184,115.5627518,57.40417862,115.581665,130.3254547,
116.0083313,42.0402832,116.0272293,193.0828094,116.062912,57.71417999,116.0818329,130.3890228,
116.5083313,42.07711411,116.5272293,194.9152374,116.5634613,57.51828766,116.5823746,130.3699951,
117.0083313,41.54328156,117.0272293,191.2312927,117.064621,57.58160019,117.0835419,128.4711761,
117.5083313,41.82217789,117.5272293,192.108429,117.5631256,57.67970276,117.5820389,131.0030823,
118.0083313,42.27328873,118.0272293,192.2096405,118.0639801,57.91793823,118.0828934,130.3536072,
118.5083313,41.9128418,118.5272293,192.8744049,118.5632477,56.9030304,118.5821686,129.4315491,
119.0083313,41.56203842,119.0272446,193.2644043,119.062912,57.70545959,119.0818329,129.6594391,
119.5083313,41.97001266,119.5272293,194.33992,119.5632477,57.6365509,119.5821686,130.0857697,
120.0083313,41.94150925,120.0272293,193.015564,120.0637512,57.63022995,120.0826645,130.9038849,
120.5083313,42.00442886,120.5272293,191.8274689,120.5634232,57.33905792,120.5823288,129.579361,
121.0083313,41.78124619,121.0272293,193.4457092,121.0640869,57.47352982,121.0830002,130.0706787,
121.5083313,42.44039536,121.5272293,193.4861298,121.562645,57.46777344,121.5815582,128.4460907,
122.0083313,42.01071167,122.0272293,192.9676361,122.0641403,57.61982346,122.0830612,130.1981964,
122.5083313,41.80791473,122.5272293,193.8839264,122.5639191,57.5952301,122.58284,130.024353,
123.0083313,41.80932617,123.0272293,193.0420532,123.0636215,57.5705719,123.0825424,128.2849121,
123.5083313,42.0741272,123.5272293,192.9169769,123.5643311,57.58708572,123.5832291,128.9571838,
124.0083313,41.85394287,124.0272293,194.263504,124.0633316,57.45249557,124.0822296,129.0016174,
124.5083313,41.79560471,124.5272446,193.0323639,124.5641403,57.70797348,124.5830612,128.0620575,
125.0083313,42.15825272,125.0272293,192.1117859,125.0623398,57.0474472,125.0812225,129.1653442,
125.5083313,41.67713928,125.5272293,193.3249054,125.5632477,57.06251144,125.5821686,129.6794281,
126.0083313,42.13413239,126.0272293,191.8692627,126.0635834,57.686409,126.0825043,129.0708313,
126.5083313,42.34838104,126.5272293,192.5289917,126.5632858,57.73087692,126.5822067,129.9252777,
127.0083313,42.13647461,127.0272293,192.4378662,127.0628967,57.23310852,127.08181,129.5898438,
127.5083313,41.41760635,127.5272293,191.5494232,127.5630875,57.38061142,127.5820007,128.2144318,
