Wavelength (nm),Intensity (a.u.),Z Axis,
,Sample A1,Sample A2,Sample A3,Sample A4,Sample A5,Sample A6,Sample A7,Sample B7,Sample B6,Sample B5,Sample B4,Sample B3,Sample B2,Sample B1,Sample C1,Sample C2,Sample C3,Sample C4,Sample C5,Sample C6,Sample C7
433.029998779297,94.3968963623047,89.9074401855469,91.9656982421875,102.556274414062,69.8662338256836,96.6486206054687,0.462238639593124,0.417135953903198,102.368408203125,104.039985656738,92.400276184082,93.6103134155273,60.286376953125,93.4282913208008,103.647956848145,91.9407119750977,89.6171340942383,69.5114364624023,64.0493087768555,93.9522018432617,1.05019128322601
433.929992675781,92.1499099731445,83.9093246459961,97.0818862915039,102.120880126953,74.957405090332,101.906295776367,0.690457165241241,0.545564353466034,101.129356384277,100.530380249023,96.7643356323242,99.9713287353516,59.821720123291,92.3261642456055,96.8600692749023,95.189453125,89.5228271484375,67.9096527099609,71.7098388671875,90.3869552612305,0.631379544734955
435,95.1708297729492,88.8897247314453,94.2607727050781,102.013397216797,66.5810012817383,98.8094787597656,0.930873334407806,0.80917900800705,99.7114639282227,100.884452819824,96.222526550293,103.339218139648,65.5737686157227,95.5503997802734,102.126327514648,93.8704605102539,94.9946060180664,71.9195098876953,69.3592300415039,92.2933654785156,0.475869446992874
436.059997558594,90.4113464355469,91.0525665283203,87.2896499633789,99.1896209716797,73.5619583129883,100.552864074707,0.841419339179993,1.10728085041046,100.08430480957,106.62776184082,105.726005554199,102.565055847168,68.2295455932617,103.940803527832,96.0690994262695,89.132194519043,90.2856063842773,70.9702911376953,71.7617034912109,92.7070236206055,0.400144040584564
436.959991455078,95.6682662963867,95.3369979858398,93.1167984008789,108.044319152832,76.1301040649414,100.687629699707,0.293013453483582,0.388341128826141,102.548149108887,104.825004577637,100.614349365234,103.853240966797,63.9915771484375,110.03385925293,100.918876647949,92.4230880737305,92.4947128295898,74.4782409667969,71.9240188598633,99.4334411621094,1.25532388687134
438.029998779297,92.7847595214844,93.4305038452148,98.8645782470703,108.933967590332,77.9983215332031,106.448295593262,0.647144436836243,0.865757644176483,110.938636779785,96.9468994140625,103.299591064453,106.079315185547,66.1521453857422,98.0328826904297,97.3171310424805,91.3929977416992,85.5401916503906,74.7703552246094,64.8221130371094,101.171531677246,0.556966543197632
438.929992675781,96.492301940918,92.1762542724609,96.0313491821289,104.709312438965,76.5190353393555,100.294166564941,1.04861605167389,0.911210000514984,102.09156036377,95.566780090332,102.981582641602,100.705841064453,63.4981689453125,97.2421112060547,98.5791931152344,97.8133163452148,91.1526565551758,74.5438766479492,75.2394256591797,102.638946533203,0.654702305793762
440,97.2555618286133,97.2763519287109,92.8894271850586,106.610122680664,83.7400512695313,107.443649291992,0.889710128307343,1.08304822444916,111.757766723633,109.506118774414,100.991317749023,102.913475036621,64.9472122192383,98.5779418945313,108.435577392578,101.417900085449,95.8548126220703,79.0484008789063,71.6806030273437,97.9109573364258,0.532592356204987
441.070007324219,97.5333404541016,99.5364074707031,106.429138183594,106.362815856934,77.8040924072266,100.32413482666,0.783254027366638,0.580082476139069,106.048789978027,105.697868347168,109.661468505859,108.669227600098,66.8089294433594,103.960289001465,102.794105529785,105.384399414062,97.3980178833008,71.452880859375,72.1392974853516,98.776985168457,1.18762457370758
442,101.83080291748,96.8273773193359,93.5779418945313,110.505897521973,77.9678726196289,109.298469543457,0.972590625286102,1.26863968372345,107.415367126465,110.431701660156,114.41675567627,106.947555541992,66.5843658447266,104.040657043457,105.30712890625,105.17635345459,99.0571899414062,72.7577133178711,70.7151412963867,98.4065093994141,0.505205392837524
