Sample A1,,Sample A2,,Sample A3,,Sample A4,,Sample A5,,Sample A6,,Sample A7,,Sample A8,,Sample A9,,Sample A10,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
69.0008316,26.46940422,69.02089691,27.46029472,69.04212189,33.62888718,69.06304169,31.83110809,69.08339691,28.19867516,69.1035614,27.04237938,69.12554169,24.33215523,69.14589691,22.77508736,69.16621399,22.69374084,69.18730927,31.91411209,
70.0008316,22.23493385,70.02147675,26.70450401,70.0417099,30.89347839,70.06237793,30.66088676,70.08348083,28.52210426,70.10405731,29.71830177,70.12539673,24.42707062,70.14598083,24.20363426,70.16654205,20.53918457,70.18753815,32.25499344,
71.0008316,25.52370071,71.02039337,28.19087791,71.04112244,32.96246338,71.06172943,27.40758896,71.08273315,26.33984756,71.10364532,26.86748505,71.12387848,20.62328148,71.14424896,24.30928421,71.16537476,22.82914925,71.18623352,30.69491005,
72.0008316,22.90669441,72.02204132,31.96135521,72.04237366,31.16508102,72.0634613,33.36840439,72.0837326,29.19690132,72.10462189,30.90475082,72.12589264,24.32616615,72.14620972,18.17251778,72.16739655,21.78520393,72.18771362,29.67788696,
73.0008316,21.29735374,73.02114105,28.00225067,73.04237366,30.75692558,73.06239319,28.04940224,73.08358765,27.46495628,73.10478973,33.13815689,73.12503815,22.99392319,73.14608765,22.68467903,73.16662598,20.66857529,73.18714142,34.08001709,
74.0008316,21.23162842,74.02204132,27.88364601,74.04221344,30.27615547,74.06328583,31.1521225,74.0837326,30.95284271,74.10389709,29.02975464,74.12512207,23.31939125,74.14553833,22.20425034,74.16645813,22.22222328,74.18704224,32.54076385,
75.0008316,19.43078613,75.02087402,27.82205582,75.04191589,28.507164,75.06224823,29.88057327,75.08387756,30.13868332,75.10404205,28.92010689,75.12539673,24.74727249,75.14637756,22.23588753,75.16737366,20.55173111,75.18771362,29.83943939,
76.0008316,23.0088501,76.02172852,27.91019249,76.04239655,32.54358292,76.06364441,33.64708328,76.0840683,31.83534813,76.10495758,27.4061985,76.12604523,23.14029312,76.14639282,23.95238686,76.16770935,23.05200577,76.18872833,31.73395538,
77.0008316,21.80143738,77.02072906,27.10058975,77.04162598,32.44662476,77.06271362,32.62969971,77.08374786,29.81708717,77.1049118,27.28739738,77.12570953,21.35888863,77.14604187,21.5571785,77.1674118,21.25235367,77.18791199,29.81606483,
78.0008316,25.16898155,78.02106476,30.49747467,78.04187775,32.69677353,78.06291199,30.09789467,78.08397675,31.42583466,78.10506439,30.93701172,78.12570953,24.31492615,78.14572906,25.19569588,78.16681671,22.88915253,78.18771362,31.8893795,
79.0008316,25.89438629,79.02071381,30.29497147,79.04103851,30.40867615,79.06253815,31.96915245,79.0837326,27.02636719,79.10405731,29.28461456,79.12462616,24.77902603,79.14580536,23.56960297,79.16703796,21.71057701,79.18739319,31.68953896,
