Sample M4,,
Time (min),Intensity (a.u.),
50.01750183,225.9903717,
50.01916885,223.4497833,
50.02083206,242.0453186,
50.0225029,287.5220947,
50.02416611,243.7494659,
50.02583313,268.5873413,
50.02750397,243.5039368,
50.02916718,260.5234985,
50.0308342,253.2636719,
50.03249741,260.4666138,
50.03416824,262.9030762,
50.03583527,240.8328705,
50.03749847,223.8753204,
50.03916931,238.6376038,
50.04083252,253.7551117,
50.04249954,240.9725037,
50.04417038,245.5924225,
50.04583359,244.1877594,
50.04750061,229.6607056,
50.04916763,261.1401367,
50.05083466,262.0914001,
50.05250168,254.3283234,
50.05416489,251.3066406,
50.05583572,244.1264038,
50.05749893,232.1263428,
50.05916595,247.9984589,
50.06083679,250.5025482,
50.0625,249.7657166,
50.06416702,254.6847839,
50.06583405,245.5680237,
50.06750107,255.3305054,
50.06916809,256.7214355,
50.07083511,257.9187012,
50.07250214,250.2761383,
50.07416534,260.4115601,
50.07583237,261.566925,
50.0775032,244.7336578,
50.07916641,230.5587921,
50.08083344,244.8667908,
50.08250046,260.7024841,
50.08416748,266.9302979,
50.0858345,267.8907776,
50.08750153,250.9275208,
50.08916855,240.5606842,
50.09083176,257.4335632,
50.09250259,243.0820465,
50.09416962,245.4158173,
50.09583282,264.9376831,
50.09749985,241.198288,
50.09916687,243.6264648,
50.10083389,225.678421,
50.10250092,238.0982971,
50.10416794,230.1760559,
50.10583496,252.3214111,
50.10749817,254.973999,
50.10916901,224.0971222,
50.11083603,228.3935089,
50.11249924,241.9456482,
50.11417007,243.1773834,
50.11583328,270.9380798,
50.11750031,222.2621307,
50.11916733,285.8493347,
50.12083435,250.2791748,
50.12250137,256.6257629,
50.12416458,234.9555359,
50.12583542,242.2796173,
50.12750244,270.2568665,
50.12916565,261.8577881,
50.13083649,273.0811768,
50.13249969,265.8297424,
50.13416672,262.668457,
50.13583755,274.2531738,
50.13750076,251.3458862,
50.13916779,245.7127533,
50.14083099,235.5156555,
50.14250183,228.6651459,
50.14416885,285.6322327,
50.14583206,244.375412,
50.1475029,235.4898987,
50.14916611,236.5256805,
50.15083313,248.8336792,
50.15250397,243.5592651,
50.15416718,271.3106384,
50.1558342,234.8273468,
50.15749741,226.4465485,
50.15916824,251.6869812,
50.16083527,238.5345917,
50.16249847,256.0065613,
50.16416931,241.5225983,
50.16583252,252.9422455,
50.16749954,277.6850281,
50.16917038,233.8177795,
50.17083359,217.125,
50.17250061,263.9087524,
50.17416763,234.7648926,
50.17583466,240.5698547,
50.17750168,252.6302795,
50.17916489,244.4133301,
50.18083572,234.6039276,
50.18249893,255.5469055,
50.18416595,254.6469727,
50.18583679,259.3256226,
50.1875,257.0601196,
50.18916702,259.524292,
50.19083405,238.3716736,
50.19250107,262.8668518,
50.19416809,254.4469452,
50.19583511,232.0107727,
50.19750214,233.1310883,
50.19916534,261.3511353,
50.20083237,256.3329468,
50.2025032,237.8906555,
50.20416641,240.3828888,
50.20583344,248.537323,
50.20750046,255.2391968,
50.20916748,255.2624207,
50.2108345,237.8415833,
50.21250153,254.1468353,
50.21416855,251.0318604,
50.21583176,242.0915375,
50.21750259,252.3027191,
50.21916962,260.3121643,
50.22083282,269.8374634,
50.22249985,245.2076569,
50.22416687,245.7731171,
50.22583389,246.1331787,
50.22750092,281.1122437,
50.22916794,246.516037,
50.23083496,267.0856934,
50.23249817,292.8881226,
50.23416901,264.3508301,
50.23583603,252.8214874,
50.23749924,227.8372803,
50.23917007,247.7401276,
50.24083328,267.3813171,
50.24250031,232.9700317,
50.24416733,244.7119446,
50.24583435,245.913208,
50.24750137,262.3211975,
50.24916458,274.3772583,
50.25083542,234.140564,
50.25250244,227.5204315,
50.25416565,242.7134399,
50.25583649,244.058136,
50.25749969,240.2194366,
50.25916672,234.7012024,
50.26083755,233.0424957,
50.26250076,234.4608307,
50.26416779,250.2661285,
50.26583099,230.4506531,
50.26750183,251.5959015,
50.26916885,258.6219482,
50.27083206,270.2497559,
50.2725029,262.5180969,
50.27416611,238.5829468,
50.27583313,229.1969604,
50.27750397,250.4776611,
50.27916718,250.9777069,
50.2808342,237.6131439,
50.28249741,264.0161438,
50.28416824,267.2490845,
50.28583527,223.1273956,
50.28749847,267.5671082,
50.28916931,230.688385,
50.29083252,280.111908,
50.29249954,255.7242126,
50.29417038,233.4014587,
50.29583359,257.7718506,
50.29750061,254.3979797,
50.29916763,266.7117004,
50.30083466,225.4215851,
50.30250168,276.1628113,
50.30416489,264.2471008,
50.30583572,247.4161835,
50.30749893,246.6844788,
50.30916595,260.8493958,
50.31083679,241.8596039,
50.3125,250.6573029,
50.31416702,243.2974091,
50.31583405,265.7635193,
50.31750107,264.1260681,
50.31916809,258.9142761,
50.32083511,255.079071,
50.32250214,249.0307007,
50.32416534,249.5059814,
50.32583237,259.8685608,
50.3275032,251.5043488,
50.32916641,249.8623657,
50.33083344,232.1870117,
50.33250046,244.3230743,
50.33416748,246.0284119,
50.3358345,272.0259705,
50.33750153,247.4638977,
50.33916855,237.1263885,
50.34083176,257.1878052,
50.34250259,249.6656036,
50.34416962,269.9429932,
50.34583282,266.7315674,
50.34749985,254.3674011,
50.34916687,233.6524506,
50.35083389,260.0661621,
50.35250092,248.3921661,
50.35416794,241.6740875,
50.35583496,230.7943115,
50.35749817,248.4884186,
50.35916901,267.0358582,
50.36083603,232.6716309,
50.36249924,239.9894867,
50.36417007,241.8700867,
50.36583328,247.8551331,
50.36750031,258.8375854,
50.36916733,241.554184,
50.37083435,257.4750061,
50.37250137,234.557251,
50.37416458,244.285202,
50.37583542,254.1149139,
50.37750244,260.8843079,
50.37916565,270.3026428,
50.38083649,237.9940948,
50.38249969,233.7005005,
50.38416672,249.5244904,
50.38583755,238.7774963,
50.38750076,261.8262329,
50.38916779,225.409256,
50.39083099,238.2108307,
50.39250183,276.8538818,
50.39416885,248.8343048,
50.39583206,252.6477966,
50.3975029,250.4851379,
50.39916611,231.0540924,
50.40083313,263.0211487,
50.40250397,218.8827515,
50.40416718,246.8055573,
50.4058342,256.4815063,
50.40749741,261.6634521,
50.40916824,244.7711334,
50.41083527,210.1907806,
50.41249847,223.9425964,
50.41416931,252.4387665,
50.41583252,222.9330444,
50.41749954,238.5214386,
50.41917038,242.1175537,
50.42083359,259.1815491,
50.42250061,248.0974426,
50.42416763,258.6219482,
50.42583466,262.306366,
50.42750168,258.5268555,
50.42916489,247.2163086,
50.43083572,270.4708252,
50.43249893,283.6248779,
50.43416595,264.7269592,
50.43583679,235.8855286,
50.4375,234.9321289,
50.43916702,242.1036224,
50.44083405,231.351944,
50.44250107,248.6376038,
50.44416809,275.2046204,
50.44583511,230.4409485,
50.44750214,232.2507019,
50.44916534,250.5549927,
50.45083237,244.0815735,
50.4525032,262.7296753,
50.45416641,268.4507751,
50.45583344,222.3999786,
50.45750046,262.7996521,
50.45916748,245.631485,
50.4608345,267.7471619,
50.46250153,232.8123627,
50.46416855,237.7806396,
50.46583176,258.2456055,
50.46750259,256.7745361,
50.46916962,242.0936127,
50.47083282,237.3511505,
50.47249985,265.0552368,
50.47416687,245.5390472,
50.47583389,225.5267487,
50.47750092,250.6908112,
50.47916794,258.1423645,
50.48083496,257.9707947,
50.48249817,223.7757263,
50.48416901,242.7893524,
50.48583603,238.1417999,
50.48749924,235.3449707,
50.48917007,250.2761383,
50.49083328,236.4258118,
50.49250031,226.783432,
50.49416733,235.6264496,
50.49583435,269.5823364,
50.49750137,230.5943909,
50.49916458,211.517746,
50.50083542,256.442627,
50.50250244,225.3614044,
50.50416565,258.9334717,
50.50583649,249.6336212,
50.50749969,240.7740936,
50.50916672,242.8283081,
50.51083755,231.4899445,
50.51250076,242.9751434,
50.51416779,259.5071716,
50.51583099,223.6325989,
50.51750183,258.562561,
50.51916885,242.0496674,
50.52083206,247.6618042,
50.5225029,246.4269562,
50.52416611,233.7938538,
50.52583313,264.7790527,
50.52750397,224.8951416,
50.52916718,245.7821503,
50.5308342,261.9029236,
50.53249741,230.3617401,
50.53416824,247.4171448,
50.53583527,290.9573364,
50.53749847,260.7564392,
50.53916931,258.2510681,
50.54083252,253.6122437,
50.54249954,217.4061737,
50.54417038,234.2407074,
50.54583359,253.3381195,
50.54750061,238.740036,
50.54916763,235.9656982,
50.55083466,263.1983032,
50.55250168,278.1793823,
50.55416489,269.2861328,
50.55583572,244.7335663,
50.55749893,267.1004639,
50.55916595,272.5914612,
50.56083679,229.0639648,
50.5625,201.9008331,
50.56416702,249.7901459,
50.56583405,224.9443207,
50.56750107,262.8965149,
50.56916809,260.9772949,
50.57083511,264.3718567,
50.57250214,258.3753662,
50.57416534,238.2716217,
50.57583237,276.6459045,
50.5775032,200.3919983,
50.57916641,270.2306824,
50.58083344,247.3106842,
50.58250046,253.9037933,
50.58416748,258.6455078,
50.5858345,240.2718353,
50.58750153,250.2404938,
50.58916855,248.1066132,
50.59083176,237.7464142,
50.59250259,227.2588959,
50.59416962,231.6644135,
50.59583282,258.9902649,
50.59749985,274.2799072,
50.59916687,266.1088867,
50.60083389,234.9761353,
50.60250092,253.0270691,
50.60416794,217.3817139,
50.60583496,240.211731,
50.60749817,258.8386841,
50.60916901,259.4324036,
50.61083603,258.7299805,
50.61249924,244.234848,
50.61417007,267.9356689,
50.61583328,211.9865875,
50.61750031,245.4869843,
50.61916733,263.8869324,
50.62083435,237.2251892,
50.62250137,232.7048035,
50.62416458,238.1908417,
50.62583542,252.9221649,
50.62750244,278.6532593,
50.62916565,291.5254517,
50.63083649,231.8329468,
50.63249969,241.2732544,
50.63416672,240.8860474,
50.63583755,242.624527,
50.63750076,242.8646088,
50.63916779,239.0463257,
50.64083099,248.1421509,
50.64250183,251.8445129,
50.64416885,239.8388214,
50.64583206,241.2457886,
50.6475029,256.4392395,
50.64916611,237.3330688,
50.65083313,235.5582275,
50.65250397,230.5072632,
50.65416718,283.3751831,
50.6558342,219.9410095,
50.65749741,265.4887695,
50.65916824,256.9742126,
50.66083527,242.4819183,
50.66249847,241.6411438,
50.66416931,256.2223816,
50.66583252,245.6735535,
50.66749954,247.7507324,
50.66917038,221.4286499,
50.67083359,242.1090393,
50.67250061,261.4009705,
50.67416763,233.0185242,
50.67583466,262.6882935,
50.67750168,275.1481934,
50.67916489,273.0898743,
50.68083572,207.7638245,
50.68249893,225.9729004,
50.68416595,249.470459,
50.68583679,243.5036316,
50.6875,243.8026733,
50.68916702,251.6241302,
50.69083405,249.6118774,
50.69250107,276.4587708,
50.69416809,266.4603577,
50.69583511,260.1578979,
50.69750214,243.2238312,
50.69916534,255.0774536,
50.70083237,251.0157623,
50.7025032,251.7142181,
50.70416641,240.7635956,
50.70583344,252.1309967,
50.70750046,258.1035461,
50.70916748,253.3236084,
50.7108345,245.1627045,
50.71250153,240.315506,
50.71416855,236.0257721,
50.71583176,250.3186951,
50.71750259,233.2590485,
50.71916962,243.7085876,
50.72083282,242.9468689,
50.72249985,260.0947266,
50.72416687,233.5449677,
50.72583389,252.6524811,
50.72750092,224.8327026,
50.72916794,245.5846863,
50.73083496,268.752533,
50.73249817,262.2367249,
50.73416901,247.4279327,
50.73583603,243.3348541,
50.73749924,244.0921478,
50.73917007,275.2088318,
50.74083328,234.7594147,
50.74250031,242.4600067,
50.74416733,244.9062653,
50.74583435,240.9437866,
50.74750137,232.7693481,
50.74916458,240.7593384,
50.75083542,249.1754456,
50.75250244,245.3423004,
50.75416565,235.5050354,
50.75583649,262.3888245,
50.75749969,237.3772583,
50.75916672,246.0997772,
50.76083755,247.1260071,
50.76250076,270.1477661,
50.76416779,244.4609833,
50.76583099,260.1673279,
50.76750183,241.1327209,
50.76916885,244.1986237,
50.77083206,264.8713684,
50.7725029,229.5283813,
50.77416611,250.1064758,
50.77583313,248.2460632,
50.77750397,258.2218323,
50.77916718,243.6837158,
50.7808342,251.1830444,
50.78249741,270.453064,
50.78416824,249.6383972,
50.78583527,238.414917,
50.78749847,234.5837708,
50.78916931,235.9954987,
50.79083252,261.990448,
50.79249954,220.2891235,
50.79417038,243.2404938,
50.79583359,219.4798279,
50.79750061,248.0553131,
50.79916763,239.5610352,
50.80083466,239.7161102,
50.80250168,236.120285,
50.80416489,262.6791687,
50.80583572,254.1887665,
50.80749893,272.0582886,
50.80916595,222.3578186,
50.81083679,250.2492523,
50.8125,251.2035217,
50.81416702,256.1321411,
50.81583405,255.5710449,
50.81750107,264.9052429,
50.81916809,238.9188995,
50.82083511,246.428772,
50.82250214,233.2888947,
50.82416534,236.8105164,
50.82583237,272.7522583,
50.8275032,246.7967987,
50.82916641,253.3760529,
50.83083344,255.673645,
50.83250046,218.8873138,
50.83416748,227.6271362,
50.8358345,238.7066956,
50.83750153,253.5119781,
50.83916855,241.8493958,
50.84083176,231.5435944,
50.84250259,220.7052002,
50.84416962,240.3484192,
50.84583282,249.230011,
50.84749985,269.997406,
50.84916687,246.8742676,
50.85083389,242.8120728,
50.85250092,248.5883331,
50.85416794,266.3133545,
50.85583496,275.2454529,
50.85749817,249.2217255,
50.85916901,255.6011353,
50.86083603,248.3967133,
50.86249924,250.0209961,
50.86417007,228.2103424,
50.86583328,283.2047729,
50.86750031,251.1089325,
50.86916733,230.2467957,
50.87083435,210.4296875,
50.87250137,271.0328369,
50.87416458,268.4819336,
50.87583542,272.6826477,
50.87750244,242.062561,
