Sample E1_Ex465_Em530,,Sample E1_Ex465_Em590,,Sample E2_Ex465_Em530,,Sample E2_Ex465_Em590,,Sample E3_Ex465_Em530,,Sample E3_Ex465_Em590,,Sample E4_Ex465_Em530,,Sample E4_Ex465_Em590,,Sample E5_Ex465_Em530,,Sample E5_Ex465_Em590,,Sample E6_Ex465_Em530,,Sample E6_Ex465_Em590,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
24.00083351,46.82892609,24.00475121,162.6663208,24.02610397,46.48070526,24.03000069,165.4906464,24.05160332,44.83034134,24.05550003,155.6533966,24.07689667,49.59921646,24.08081245,173.053299,24.10318756,42.89938354,24.10710526,152.6186218,24.1281662,45.59223938,24.13208389,158.3003693,
25.00083351,45.89530182,25.00475121,163.2848358,25.02752113,48.17722321,25.03143692,173.4884186,25.05189705,42.83616638,25.05581284,153.4397888,25.07789421,49.38793564,25.0818119,180.6238861,25.10266685,44.2396698,25.10660362,153.0027771,25.12885284,45.32437515,25.13277245,162.2994995,
26.00083351,45.38573456,26.00475121,163.5804138,26.02566719,47.49807358,26.02958298,167.2757263,26.05083466,43.23948288,26.05475044,154.2857513,26.07566643,51.33992004,26.07958412,176.8220062,26.09985352,42.77277756,26.1037693,153.2795563,26.12618828,44.74823761,26.13010406,160.5858154,
27.00083351,45.94836426,27.00475121,158.7731018,27.02541733,47.89572144,27.02933311,164.2526245,27.05191612,44.37949753,27.05583382,152.468689,27.07727051,48.72806931,27.08116722,176.5464935,27.10275078,44.11785507,27.10666656,153.5768585,27.12735367,45.0089798,27.13126945,159.7753601,
28.00083351,45.56837463,28.00475121,158.2735291,28.02523041,47.84989929,28.02914619,170.1471863,28.05102158,44.47941971,28.05493736,153.3166656,28.0768528,47.84274673,28.08077049,172.7527771,28.10168648,44.38747406,28.10560417,154.4252167,28.12624931,45.4144249,28.13016701,159.0199585,
29.00083351,45.63790131,29.00475121,161.2496338,29.02668571,46.76403427,29.03060532,167.0110474,29.05139542,43.86412048,29.0553112,156.9266357,29.07718658,49.21774292,29.08110428,178.3981018,29.10268784,43.44152832,29.10660362,150.8783722,29.1282711,45.90216446,29.13216782,157.9179077,
30.00083351,44.80685425,30.00475121,161.2288361,30.02606201,47.47249603,30.0299778,167.0907745,30.05102158,43.29170609,30.05493736,152.2895355,30.07652092,50.5605545,30.08043861,178.0734863,30.10106277,44.2049408,30.10497856,151.4736633,30.12685394,45.80320358,30.13076973,159.5157623,
31.00083351,45.08143997,31.00475121,163.0960693,31.0269165,49.6950531,31.03083229,168.4959412,31.05252075,43.81135178,31.05643654,154.3775024,31.07818794,50.71544647,31.08210373,174.9676056,31.10302162,43.99660873,31.10693741,151.7168579,31.12824821,45.64213562,31.13216782,160.1403351,
32.00083542,46.47518921,32.0047493,162.0825348,32.02602005,47.52331543,32.02993774,161.2264404,32.05102158,44.32924652,32.05493927,158.8740692,32.07635498,50.48734283,32.08027267,173.3186493,32.10185242,44.068573,32.10577011,150.8998108,32.12752151,46.47416306,32.13143539,159.3946991,
33.00083542,45.45134354,33.0047493,159.5820923,33.02733231,46.54504013,33.03125,167.0095673,33.05185318,43.60412979,33.05577087,154.9586029,33.07741547,49.41284943,33.08133316,177.3090515,33.10301971,42.92193222,33.10693741,153.1766968,33.128582,46.28712082,33.13249969,157.1264191,
34.00083542,45.80969238,34.0047493,157.9043579,34.02718735,46.84667587,34.03110504,165.7095642,34.05302048,44.99477005,34.05693817,152.5383301,34.07768631,50.71437836,34.081604,172.8373718,34.10368729,44.50502396,34.10760498,153.1632538,34.12866592,46.07836914,34.13258362,159.5456238,
35.00083542,47.4684639,35.0047493,157.4492188,35.02668762,48.585289,35.0306015,167.6316376,35.05200195,44.12414169,35.05591583,157.4697571,35.07551956,49.48337173,35.07944107,179.6793671,35.10074997,42.35007095,35.10466766,149.3589478,35.1254158,45.01890182,35.1293335,158.5498199,
36.00083542,47.61534882,36.0047493,160.1256714,36.02585602,45.25649261,36.0297699,166.755249,36.05068588,44.32637024,36.05460739,158.3969421,36.07568741,49.43455124,36.0796051,172.4783478,36.10076904,43.97229385,36.10466766,153.4971008,36.12618637,47.63913345,36.13010406,157.5611115,
37.00083542,46.23053741,37.0047493,159.8310852,37.02639389,48.74961472,37.0303154,165.809021,37.05256271,44.11686707,37.05647659,157.3029022,37.07785416,49.27019119,37.08177185,173.9209595,37.10274887,42.99065399,37.10666656,152.9735718,37.12902069,44.50172043,37.13293839,159.3728333,
38.00083542,47.18993378,38.0047493,159.9260254,38.02668762,47.17271805,38.0306015,167.4655151,38.0502739,45.06552505,38.05416489,154.895752,38.07568741,49.51722717,38.0796051,176.0824432,38.10123062,44.28340912,38.10514832,153.04422,38.12610245,46.65559387,38.13000107,158.7527924,
39.00083542,46.44814682,39.00476837,156.892746,39.02624893,46.86066818,39.03016663,169.6662598,39.05202103,43.89913559,39.05593491,155.857254,39.07735443,48.515728,39.08127213,172.2914124,39.10274887,43.37514114,39.10666656,152.9837341,39.128685,46.02537918,39.13260651,157.8292084,
40.00083542,45.0675621,40.0047493,160.1941986,40.02589417,47.94078445,40.02981186,166.7793274,40.05118942,44.33883667,40.0551033,156.0189362,40.07689667,49.37109756,40.08081055,176.4779816,40.10268402,42.91442108,40.10660553,155.0037384,40.12650299,44.97846985,40.13041687,163.2634125,
41.00083542,44.91910553,41.0047493,160.9841766,41.02616882,47.67237091,41.0300827,162.6681366,41.05133438,44.11039352,41.05524826,158.30867,41.07624817,49.1282959,41.08016586,176.8207397,41.10168839,42.9462471,41.10560226,149.7624207,41.12677002,45.27477264,41.13066864,157.6207275,
42.00083542,46.37261963,42.0047493,159.7441559,42.02668762,47.08607101,42.0306015,167.4155121,42.05185699,45.28679657,42.05577087,151.7620392,42.07693863,49.1805687,42.08083344,174.1707458,42.10168839,43.52942276,42.10562515,152.3572388,42.12718964,45.21973801,42.13110352,156.5963287,
43.00083542,46.67681885,43.00476837,156.4840393,43.02685547,48.96960449,43.03076935,165.3034515,43.05108261,43.6247673,43.05500031,157.4672699,43.07641602,48.57810211,43.08033371,178.3719025,43.1025238,42.2516098,43.10643768,150.9727631,43.12768555,45.81814575,43.13160324,159.5308685,
44.00083542,43.14861679,44.0047493,161.7177734,44.02626801,48.10228729,44.03016663,168.4275055,44.05173111,44.4489212,44.0556488,155.930069,44.07643509,50.05252838,44.08033371,176.4228058,44.10224915,43.21234894,44.10616684,150.9675598,44.12668991,44.98073578,44.13060379,159.342865,
45.00083542,45.38301849,45.0047493,156.3274841,45.02635574,47.45984268,45.03026962,160.4912872,45.05018616,44.93528748,45.05410385,152.8910828,45.07639694,49.42123795,45.08031464,175.2611084,45.09975052,44.56051254,45.1036644,148.6317902,45.12535477,46.42189407,45.12927246,163.7770386,
46.00083542,46.66651917,46.0047493,161.8700256,46.0265007,45.86987686,46.03041458,168.1349792,46.05118942,45.20529175,46.0551033,152.962677,46.07635498,50.8396492,46.08026886,178.1784363,46.10191727,43.37995529,46.10583496,149.8862762,46.12735748,46.65534973,46.13127136,159.2746887,
