Wavelength (nm),Intensity (a.u.),Z Axis,
,Sample E1,Sample E2,Sample E3,Sample E4,Sample E5,Sample E6,Sample E7,Sample E8,Sample E9,Sample E10
424,99.623291015625,93.2191314697266,97.6695022583008,94.1265487670898,99.2723617553711,95.8168640136719,98.2946701049805,101.008399963379,100.093849182129,6.49428033828735
425.070007324219,104.407508850098,97.9199752807617,97.3760528564453,98.0210723876953,102.83275604248,101.849494934082,100.941566467285,106.29712677002,101.140327453613,6.60212898254394
426,102.782508850098,96.6639633178711,101.167510986328,103.958015441895,102.947563171387,97.5688095092773,104.879241943359,106.700416564941,105.140998840332,6.99803352355957
427.070007324219,105.968772888184,102.822059631348,99.2098999023437,102.650566101074,104.275512695312,103.656745910645,108.23201751709,106.154121398926,111.706680297852,6.40723419189453
428,106.800254821777,101.684944152832,102.474098205566,106.401405334473,107.391716003418,104.552490234375,104.996322631836,113.392021179199,113.618072509766,6.68202495574951
429.070007324219,106.991493225098,105.10913848877,104.569381713867,109.655166625977,111.952308654785,109.312507629395,113.828536987305,112.594009399414,113.7255859375,6.15718936920166
430,112.986236572266,109.059432983398,106.681594848633,109.605026245117,111.404541015625,109.175422668457,114.392448425293,113.907165527344,114.647827148438,6.36042404174805
431.059997558594,115.160530090332,110.881507873535,109.704803466797,113.887542724609,114.667015075684,110.426734924316,116.302795410156,114.825317382813,119.177627563477,6.50725984573364
431.959991455078,119.189880371094,108.305076599121,112.562309265137,116.563842773437,118.574775695801,117.125228881836,117.376266479492,119.004013061523,120.450263977051,6.19991445541382
433.029998779297,120.215858459473,113.62622833252,116.627502441406,114.389022827148,117.20174407959,115.542198181152,122.66268157959,120.886688232422,121.988510131836,5.926353931427
433.929992675781,119.772285461426,115.418518066406,112.893836975098,118.392936706543,121.346961975098,117.792045593262,122.854331970215,127.263305664062,123.548004150391,6.46676874160767
435,120.524200439453,120.361145019531,119.571708679199,119.507781982422,123.329147338867,119.904342651367,126.508087158203,127.369728088379,128.529479980469,6.79151582717896
436.059997558594,124.813262939453,124.445930480957,123.665901184082,121.593421936035,124.645301818848,126.618118286133,124.349090576172,124.679489135742,129.051162719727,6.47241306304932
436.959991455078,128.04443359375,124.668403625488,123.601997375488,124.585060119629,127.006057739258,125.540481567383,129.179046630859,128.975433349609,128.694885253906,6.9421215057373
438.029998779297,124.751022338867,123.293128967285,128.440017700195,124.532867431641,133.930191040039,125.430168151855,127.786949157715,133.664321899414,129.871444702148,7.09955835342407
438.929992675781,133.733489990234,127.942207336426,126.194847106934,125.425605773926,129.400817871094,126.081092834473,136.026596069336,136.439682006836,135.47932434082,7.60765552520752
440,131.169006347656,129.762145996094,128.550491333008,132.009887695312,132.316192626953,126.662971496582,136.051666259766,136.687866210938,139.864105224609,7.54666662216186
441.070007324219,131.681396484375,127.260444641113,133.045303344727,134.431365966797,134.354598999023,129.732452392578,134.548538208008,136.910690307617,142.025939941406,8.17741203308105
442,130.991561889648,131.470031738281,132.475219726562,130.2158203125,136.117828369141,136.472030639648,136.934875488281,139.751937866211,141.076263427734,8.09169673919678
443.070007324219,134.972808837891,132.788497924805,130.360275268555,137.318222045898,138.465255737305,138.060150146484,141.428909301758,142.588668823242,144.415344238281,8.42718410491943
444,134.908340454102,131.705596923828,132.798583984375,139.260482788086,136.897277832031,140.541717529297,142.030136108398,144.104522705078,142.487442016602,8.62197303771973
445.070007324219,135.936996459961,130.997177124023,134.239288330078,144.676025390625,141.403396606445,137.387939453125,142.698257446289,143.250686645508,142.045150756836,9.25446224212647
446,136.237747192383,139.462265014648,139.51823425293,140.369674682617,140.010818481445,143.880645751953,147.304306030273,147.419036865234,147.268981933594,9.48571395874023
