Sample E1,,Sample E2,,Sample E3,,Sample E4,,Sample E5,,Sample E6,,Sample E7,,Sample E8,,Sample E9,,Sample E10,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
471.9599915,155.907135,471.9599915,165.6325073,471.9599915,156.8747559,471.9599915,164.0050659,471.9599915,166.9493713,471.9599915,161.2032166,471.9599915,168.3698425,471.9599915,174.2488403,471.9599915,164.2858429,471.9599915,6.568205833,
473.0299988,159.974884,473.0299988,162.6336975,473.0299988,157.4849396,473.0299988,167.8999786,473.0299988,164.2829132,473.0299988,163.3312683,473.0299988,172.8840179,473.0299988,177.0046844,473.0299988,165.3848267,473.0299988,6.51164484,
473.9299927,158.6684723,473.9299927,163.4666595,473.9299927,158.9534912,473.9299927,165.4462128,473.9299927,166.3834534,473.9299927,164.3101349,473.9299927,173.3800659,473.9299927,174.1067963,473.9299927,165.6003723,473.9299927,6.366095543,
475,159.8851013,475,165.844635,475,158.4720917,475,168.1183777,475,166.265152,475,168.5602264,475,166.588974,475,179.8126831,475,162.4663391,475,6.028397083,
476.0599976,159.7469177,476.0599976,163.8304596,476.0599976,159.7254333,476.0599976,164.9488831,476.0599976,168.8520813,476.0599976,165.6956177,476.0599976,176.842865,476.0599976,180.9611359,476.0599976,165.0086365,476.0599976,6.723917484,
476.9599915,158.0523224,476.9599915,164.2645874,476.9599915,162.0823364,476.9599915,165.8851166,476.9599915,163.0046234,476.9599915,164.9678802,476.9599915,170.6972961,476.9599915,185.3924561,476.9599915,165.4773254,476.9599915,6.130377293,
478.0299988,159.7433319,478.0299988,162.0614929,478.0299988,157.7358551,478.0299988,168.3125,478.0299988,167.5184174,478.0299988,167.7614899,478.0299988,171.2680511,478.0299988,176.8825073,478.0299988,166.2484283,478.0299988,6.655398369,
478.9299927,155.9069824,478.9299927,163.1637421,478.9299927,161.1772308,478.9299927,164.9975433,478.9299927,168.6389465,478.9299927,163.9620819,478.9299927,173.7537231,478.9299927,180.3139191,478.9299927,163.9168701,478.9299927,6.554524422,
480,156.7854462,480,163.5089111,480,159.3580627,480,168.2851563,480,165.0590973,480,166.3573761,480,173.1915283,480,175.493042,480,164.9885101,480,6.42616415,
481.0599976,158.8934937,481.0599976,165.3059692,481.0599976,160.1147614,481.0599976,164.9719238,481.0599976,165.7822876,481.0599976,164.7798004,481.0599976,173.4449158,481.0599976,180.3243103,481.0599976,162.9741211,481.0599976,6.520586491,
